Name,Date
2020 New Year's Day,01/01/20
2020 Australia Day,27/01/20
2020 Labour Day,09/03/20
2020 Good Friday,10/04/20
2020 Easter Saturday,11/04/20
2020 Easter Sunday,12/04/20
2020 Easter Monday,13/04/20
2020 ANZAC Day,25/05/20
2020 Queen's Birthday,08/06/20
2020 AFL Grand Final,25/09/20
2020 Melbourne Cup,03/11/20
2020 Christmas Day,25/12/20
2020 Boxing Day,28/12/20
2021 New Year's Day,01/01/21
2021 Australia Day,26/01/21
2021 Labour Day,08/03/21
2021 Good Friday,02/04/21
2021 Easter Saturday,03/04/21
2021 Easter Sunday,04/04/21
2021 Easter Monday,05/04/21
2021 ANZAC Day,25/05/21
2021 Queen's Birthday,14/06/21
2021 AFL Grand Final,24/09/21
2021 Melbourne Cup,02/11/21
2021 Christmas Day,27/12/21
2021 Boxing Day,28/12/21
2022 New Year's Day,03/01/22
2022 Australia Day,26/01/22
2022 Labour Day,14/03/22
2022 Good Friday,15/04/22
2022 Easter Saturday,16/04/22
2022 Easter Sunday,17/04/22
2022 Easter Monday,18/04/22
2022 ANZAC Day,25/05/22
2022 Queen's Birthday,13/06/22
2022 AFL Grand Final,30/09/22
2022 Melbourne Cup,01/11/22
2022 Christmas Day,26/12/22
2022 Boxing Day,27/12/22
